model_name,pretrained,config_id,test_accuracy,macro_precision,macro_recall,macro_f1,roc_auc_mean
vgg16,True,1,0.6696606786427146,0.09566581123467352,0.14285714285714285,0.11459311758176073,0.5008007687379885
resnet50,False,4,0.4600798403193613,0.2977228543601938,0.38053778773919283,0.2853454014473319,0.8013194632217917
resnet50,True,1,0.6916167664670658,0.44537545430647524,0.5624848950814993,0.4653744860293811,0.8876732015260748
resnet50,False,3,0.6936127744510978,0.4261097499970276,0.5143751447615618,0.44421971795486836,0.8924466357135026
vgg16,False,1,0.6696606786427146,0.09566581123467352,0.14285714285714285,0.11459311758176073,0.5
resnet50,False,2,0.6956087824351297,0.42887678332784285,0.5212832688388894,0.42835434712167114,0.8889805861872404
resnet50,True,3,0.8373253493013972,0.7096496463417903,0.814170928603013,0.7473144317304736,0.9667276314941141
resnet50,False,1,0.626746506986028,0.37287161298173943,0.3681702080121284,0.30734309963919487,0.8670927307813363
vgg16,True,4,0.7844311377245509,0.602697654390725,0.736492488775861,0.6489649928845165,0.9521616287835618
vgg16,False,2,0.5958083832335329,0.13046603247763436,0.19201275890385963,0.14067153126120033,0.6631303479069839
resnet50,True,4,0.810379241516966,0.647065897065897,0.7879594644231647,0.6932042951399,0.9631483573742344
vgg16,True,3,0.7754491017964071,0.6017821501733106,0.630307909303811,0.5991211171968452,0.9294852219943962
resnet50,True,2,0.8163672654690619,0.6886695923103768,0.7441288073752945,0.7068316444903261,0.9577878438681988
vgg16,False,4,0.4870259481037924,0.2777320738127177,0.34481322249179397,0.25915184117001827,0.7567536379701549
vgg16,True,2,0.7235528942115769,0.4786220183596382,0.6192168779698053,0.4769876328156442,0.9175255849417933
vgg16,False,3,0.627744510978044,0.35871823569542655,0.48659200869388225,0.34868716630630553,0.8909663052042179
